t_pc_ns,frame_id,sensor_id,accX,accY,accZ,magX,magY,magZ
1637732299685600,133154,4,-0.099609375,-0.564453125,0.892578125,307.0500183105469,-292.20001220703125,1539.845947265625
1637732299685600,133154,5,-0.115234375,-0.6640625,0.822265625,51.30000305175781,103.50000762939453,3421.8798828125
1637732370822700,133155,0,-0.041015625,-0.103515625,1.009765625,-27.000001907348633,-46.80000305175781,593.6259765625
1637732370822700,133155,1,-0.005859375,0.759765625,0.603515625,123.75000762939453,-3.450000047683716,94.37999725341797
1637732370822700,133155,2,0.029296875,0.65625,0.75390625,236.40000915527344,-131.5500030517578,508.20001220703125
1637732370822700,133155,3,-0.037109375,-0.22265625,0.96875,-367.0500183105469,89.25,-810.2160034179688
1637732370822700,133155,4,0.00390625,-0.498046875,0.849609375,281.25,-297.6000061035156,1541.5400390625
1637732370822700,133155,5,-0.01171875,-0.533203125,0.8203125,63.000003814697266,104.85000610351562,3424.300048828125
1637732443051800,133156,0,0.00390625,-0.01171875,1.01171875,-29.100000381469727,-44.70000076293945,597.9819946289062
1637732443051800,133156,1,-0.021484375,0.8046875,0.54296875,128.25,-8.40000057220459,98.25199890136719
1637732443051800,133156,2,-0.015625,0.69140625,0.71875,240.45001220703125,-130.65000915527344,498.7619934082031
1637732443051800,133156,3,-0.03515625,-0.173828125,0.99609375,-363.1500244140625,93.30000305175781,-814.0880126953125
1637732443051800,133156,4,-0.060546875,-0.45703125,0.9140625,282.1500244140625,-303.75,1533.0699462890625
1637732443051800,133156,5,-0.08984375,-0.533203125,0.919921875,60.000003814697266,98.10000610351562,3416.555908203125
1637732515252500,133157,0,0.0,-0.0078125,1.001953125,-32.85000228881836,-52.35000228881836,607.177978515625
1637732515252500,133157,1,-0.029296875,0.80078125,0.53125,131.5500030517578,-7.350000381469727,83.73200225830078
1637732515252500,133157,2,0.00390625,0.71875,0.6875,235.0500030517578,-124.50000762939453,506.74798583984375
1637732515252500,133157,3,-0.01953125,-0.154296875,0.98046875,-367.6500244140625,93.0,-813.1199951171875
1637732515252500,133157,4,-0.033203125,-0.443359375,0.875,280.6500244140625,-289.20001220703125,1526.7779541015625
1637732515252500,133157,5,-0.0390625,-0.544921875,0.822265625,59.70000076293945,102.45000457763672,3411.473876953125
1637732587142800,133158,0,0.005859375,-0.0078125,1.005859375,-27.600000381469727,-50.85000228881836,600.1599731445312
1637732587142800,133158,1,-0.025390625,0.802734375,0.53125,137.40000915527344,-7.500000476837158,92.44400024414062
1637732587142800,133158,2,-0.00390625,0.744140625,0.669921875,229.8000030517578,-129.60000610351562,510.86199951171875
1637732587142800,133158,3,-0.033203125,-0.09765625,1.029296875,-379.3500061035156,91.95000457763672,-804.4080200195312
1637732587142800,133158,4,-0.064453125,-0.439453125,0.947265625,280.8000183105469,-296.4000244140625,1535.248046875
1637732587142800,133158,5,-0.046875,-0.515625,0.88671875,55.35000228881836,100.05000305175781,3410.989990234375
1637732659802100,133159,0,0.001953125,-0.001953125,1.009765625,-30.600000381469727,-46.5,605.0
1637732659802100,133159,1,-0.025390625,0.806640625,0.52734375,139.0500030517578,-5.100000381469727,81.06999969482422
1637732659802100,133159,2,-0.01953125,0.7734375,0.65625,236.5500030517578,-129.0,509.4100036621094
1637732659802100,133159,3,-0.0546875,-0.083984375,1.0234375,-382.3500061035156,93.45000457763672,-810.2160034179688
