t_pc_ns,sensor_id,accX,accY,accZ,magX,magY,magZ
430986157422600,1,-0.0156,0.7969,0.5449,138.30,5.70,-271.28
430986170446600,2,-0.0195,0.9434,-0.3047,-205.50,-132.00,485.45
430986183467600,3,-0.0352,0.8184,-0.5312,55.35,21.00,-793.52
430986196510600,4,-0.0332,0.8633,-0.4961,-42.30,-319.95,1609.30
430986209465100,5,-0.0293,0.8555,-0.4414,73.65,72.45,3481.17
430986222468300,0,0.0117,-0.0020,1.0059,-13.95,-49.95,464.88
430986235455300,1,-0.0156,0.7949,0.5430,135.45,9.15,-277.82
430986248450300,2,-0.0195,0.9434,-0.3008,-198.30,-133.35,477.47
430986261461200,3,-0.0332,0.8164,-0.5332,48.60,17.85,-795.21
430986274437400,4,-0.0312,0.8633,-0.4980,-51.60,-319.80,1610.27
430986287464600,5,-0.0273,0.8555,-0.4355,73.65,73.20,3474.64
430986300454500,0,0.0078,0.0000,1.0098,-15.45,-39.15,467.54
430986313465400,1,-0.0195,0.7949,0.5430,140.40,3.90,-281.69
430986326442900,2,-0.0195,0.9434,-0.3027,-202.05,-131.10,481.34
430986339442800,3,-0.0332,0.8164,-0.5293,53.25,21.15,-782.14
430986352450600,4,-0.0352,0.8613,-0.4922,-49.80,-316.05,1621.64
430986365439500,5,-0.0254,0.8574,-0.4375,71.85,75.75,3473.18
430986378405500,0,0.0137,0.0000,1.0078,-9.45,-43.65,473.84
430986391412300,1,-0.0234,0.7949,0.5449,133.95,7.05,-281.93
430986404443600,2,-0.0195,0.9395,-0.3027,-202.05,-130.35,472.38
430986417441000,3,-0.0332,0.8164,-0.5332,52.65,22.20,-783.35
430986430518100,4,-0.0352,0.8633,-0.4961,-42.15,-320.85,1622.13
430986443424800,5,-0.0273,0.8496,-0.4434,70.65,71.70,3473.67
430986456466800,0,0.0098,-0.0020,1.0059,-15.15,-37.05,472.63
430986469424100,1,-0.0234,0.7988,0.5469,143.10,12.75,-273.46
430986482456800,2,-0.0234,0.9395,-0.3027,-204.15,-130.35,481.82
430986495430000,3,-0.0371,0.8223,-0.5332,53.55,19.35,-786.98
430986508454500,4,-0.0352,0.8633,-0.4961,-40.05,-324.30,1611.72
