frame_idx,t_estimated_ns,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13
141,1111641898925122,0.4490,-1.3352,-2.8127,1.6000,-3.2311,2.7655,3.3569,1.9503,-0.1009,0.6556,-1.4091,1.7571,2.8096
142,1111641932474093,0.4499,-1.3891,-3.0812,1.5378,-2.9776,2.3806,3.1556,2.2283,0.2439,0.3936,-1.6561,1.9317,2.8122
143,1111641966023064,0.6585,-1.9033,-2.8861,1.3412,-2.8216,2.3949,2.8405,2.1982,0.0664,0.1685,-1.0805,1.8733,4.4942
144,1111641999572034,0.5607,-1.6729,-2.8729,1.4598,-3.0267,2.0945,3.0552,1.9322,-0.1009,0.3709,-1.1466,1.5593,4.5206
145,1111642033121005,0.6892,-1.3596,-3.2914,2.2806,-3.8623,2.3227,3.1085,1.4061,0.0111,-0.0604,-1.0975,1.8835,4.5470
146,1111642066669976,0.6911,-1.1927,-2.8197,1.2729,-3.7527,2.1028,3.3577,1.5929,-0.8563,0.4746,-0.9419,1.5524,3.6573
147,1111642100218947,0.5690,-0.7587,-3.8709,-0.5055,-1.4079,2.2261,3.3132,1.4664,-0.6220,0.1266,-0.8723,1.5465,2.7675
148,1111642133767918,0.7574,-1.2946,-2.7549,1.1570,-3.8127,2.2638,2.7768,1.5606,-0.5200,0.3419,-0.9031,1.2272,4.8041
149,1111642167316888,0.8345,-1.2504,-2.7362,0.9646,-3.6291,2.0968,2.8033,1.6646,-0.5629,0.1589,-0.4891,1.1202,3.2729
150,1111642200865859,1.1565,-0.9880,-2.9917,1.6296,-4.3369,1.6885,2.5440,2.1782,-0.8319,0.2760,-0.9607,1.2944,6.4970
151,1111642234414830,0.9178,-0.8309,-3.4985,2.1912,-4.6161,1.9473,2.8159,2.0214,-0.9593,0.4453,0.0997,-0.2269,-3.8561
152,1111642267963801,0.5330,-0.6954,-3.5253,2.3801,-4.6913,1.9328,2.7896,2.0351,-1.0441,0.6428,0.0215,-0.0304,-2.2671
153,1111642301512772,0.6189,-1.1046,-2.6785,-1.4799,-1.5400,2.0558,2.7413,1.3950,-0.1149,0.1473,0.2363,0.3720,-0.6782
154,1111642335061742,0.3614,-0.7540,-3.3174,3.0319,-5.2465,1.8431,3.5493,0.8630,-0.1987,0.2077,-0.9653,1.1803,0.9107
155,1111642368610713,0.1357,-0.8873,-3.5253,2.9226,-4.5815,1.6890,3.3266,1.3404,-0.3467,0.1465,-1.7095,2.3362,2.4997
156,1111642402159684,0.1671,-0.8097,-3.4783,2.8847,-4.6301,1.8860,3.0724,1.7526,-0.5354,0.2378,-0.8544,1.7603,-0.7912
157,1111642435708655,0.2354,-0.5243,-3.5193,2.5915,-4.6419,1.8863,3.3393,1.5552,-0.4277,0.2310,-0.9762,2.0982,-4.0820
158,1111642469257626,0.4647,-0.4366,-3.2533,2.1729,-4.6854,2.5921,2.6634,2.2687,-0.8459,0.4310,-0.1211,0.7088,-3.0150
159,1111642502806596,0.5557,-0.4746,-2.7010,1.6476,-4.7108,2.5523,3.1053,1.6202,-0.6411,0.7694,-1.5972,1.7969,2.8150
160,1111642536355567,0.4220,-0.5985,-2.8759,2.2811,-4.9042,2.3804,3.1265,1.7937,-0.4152,0.5797,-1.0318,1.2307,2.1010
161,1111642569904538,0.2106,-0.7254,-2.8804,1.5755,-4.2531,2.4023,3.0945,2.2102,-0.6660,0.3864,-1.4431,1.7500,4.7193
162,1111642603453509,0.2697,-0.7966,-3.1708,1.5674,-3.9206,2.4721,2.8934,2.0934,-0.0350,-0.0021,-0.3823,0.7555,2.4341
163,1111642637002480,0.5802,-1.2475,-2.4711,1.4673,-4.6172,3.0541,2.6418,2.1876,-0.3200,0.3003,-1.6874,2.1147,2.8398
164,1111642670551450,0.7596,-1.2615,-3.0047,1.8658,-4.4596,2.6661,2.7047,2.4503,-0.6033,0.3781,-1.2770,1.7312,3.7157
165,1111642704100421,0.6252,-1.0978,-3.0514,1.4914,-4.2907,2.5393,3.0654,2.2286,-0.4121,0.3045,-0.0193,0.4968,0.9259
166,1111642737649392,0.7295,-1.3063,-3.3480,1.7391,-4.3736,2.7067,2.8572,2.1313,-0.5880,0.6170,-0.9219,1.3763,1.3352
167,1111642771198363,0.9769,-1.4122,-3.2417,1.6278,-4.3050,2.5857,2.6958,2.0072,-0.0632,0.1002,-0.4796,1.4282,-0.1198
168,1111642804747334,0.7620,-1.3038,-3.0175,1.6114,-4.3996,2.1488,3.1602,1.9532,-0.3746,0.3495,-1.1229,1.7248,1.2575
169,1111642838296304,0.8997,-1.4572,-2.4339,-1.4084,-2.0595,2.6190,2.2380,2.2492,-0.1523,0.1982,0.0710,0.3986,2.6349
