frame_idx,t_estimated_ns,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13
128,165131162274906,-20.2990,-23.3043,-23.0423,-19.6986,-10.3819,-4.6654,-1.3765,2.8657,0.5911,1.2166,-0.2137,1.4553,-2.3833
129,165131191721473,-20.4240,-24.3727,-24.7031,-18.3453,-9.8828,-3.1444,-1.7900,4.1760,2.0348,1.0343,-0.8277,2.7078,-2.7095
130,165131221168041,-20.7002,-24.4906,-27.6242,-16.6107,-9.4593,-3.5753,-0.2725,5.3088,3.5355,1.4296,2.2264,-0.5702,0.8938
131,165131250614608,-21.0057,-24.4376,-27.0343,-17.5750,-9.0124,-2.5189,-0.0939,5.2962,4.0909,2.2903,0.9473,1.4982,-2.4688
132,165131280061175,-22.2918,-24.1090,-26.0294,-17.7494,-8.6861,-2.9202,0.2916,6.6041,2.9411,3.5269,-0.1020,1.1466,-4.8219
133,165131309507742,-22.5262,-24.6419,-24.8067,-17.2801,-9.1507,-2.1993,0.0620,5.9064,3.7280,2.3015,-0.2666,0.8541,-3.2083
134,165131338954310,-22.7710,-24.7597,-26.6882,-15.0801,-8.9438,-1.6907,0.5560,5.5794,3.6773,2.4413,-0.2458,-1.5180,-0.0149
135,165131368400877,-22.3105,-25.5104,-26.4914,-14.9867,-8.5126,-1.8872,0.9344,5.9484,4.7204,2.4830,-1.4372,0.5020,-0.2247
136,165131397847444,-22.4690,-25.0768,-26.2624,-15.4719,-8.6918,-1.6452,1.7585,5.3209,4.3613,3.6472,-1.1244,0.4291,-1.6991
137,165131427294011,-21.6849,-24.5515,-26.4780,-15.2763,-8.3619,-1.8112,1.4732,5.2280,3.9604,2.6976,-0.0788,0.3849,-1.8263
138,165131456740579,-21.1917,-24.3273,-25.6442,-15.9697,-8.1338,-2.0285,0.2183,5.5114,3.3900,2.6281,0.1419,1.2466,-3.1672
139,165131486187146,-19.9977,-24.4480,-25.8043,-16.5562,-8.2068,-2.2780,0.2191,6.9477,2.1735,3.9333,-0.1833,1.4600,-2.0110
140,165131515633713,-20.3768,-23.8156,-25.6717,-16.2352,-8.7971,-3.0346,1.1914,5.0014,4.2719,3.7669,0.7132,2.7978,-1.3238
141,165131545080281,-21.1303,-23.5250,-24.8224,-16.1581,-9.0427,-2.5514,2.0720,5.4736,3.0479,4.1684,-0.7562,2.7165,-3.7021
142,165131574526848,-21.6537,-23.4521,-23.7166,-17.0346,-7.9843,-1.9223,0.3780,7.3135,3.6390,3.5941,0.6099,1.4982,-1.2904
143,165131603973415,-21.7995,-23.5730,-24.4377,-16.4696,-7.6374,-1.8662,1.8947,6.6886,4.1516,3.2492,0.6364,0.9355,-0.7638
144,165131633419982,-21.8340,-23.6259,-25.5233,-15.7731,-8.3600,-1.4603,2.7363,7.6528,4.1518,3.8513,0.0143,1.1197,-2.3045
145,165131662866550,-20.9121,-24.0887,-26.7508,-15.8699,-8.8626,-0.2541,4.0667,8.0912,4.8534,2.9943,1.1786,-0.2845,-2.2398
146,165131692313117,-20.5573,-23.9574,-23.9517,-18.8363,-8.2265,-0.8897,3.8234,7.9371,5.1646,3.4228,0.3010,-1.3812,-2.1974
147,165131721759684,-20.0883,-23.9799,-25.2261,-16.3555,-8.0330,-1.7101,3.4138,6.3914,nan,nan,0.5134,-1.9706,0.0831
148,165131751206251,-20.1697,-22.8659,-23.9379,-17.5753,-7.5757,-1.6409,1.7454,nan,nan,2.9588,0.3133,-0.9165,-1.1346
149,165131780652819,-20.4396,-21.5913,-23.7295,-16.9384,-8.6969,-1.7242,1.4082,5.7650,2.6621,2.6749,0.2984,-0.8690,-0.8811
150,165131810099386,-19.0644,-21.9561,-23.0866,-17.9520,-8.2168,-3.1028,1.5595,5.8113,3.7518,2.3445,-0.9792,0.9849,-2.8833
151,165131839545953,-19.2529,-21.3769,-26.0173,-14.6514,-8.9181,-3.1626,1.4193,6.2729,3.2924,2.4964,-0.9629,0.8010,-2.4584
152,165131868992520,-19.2663,-21.1206,-25.5027,-15.0886,-8.7475,-2.6979,1.3018,5.7601,2.6384,3.0989,-1.8883,1.3098,-2.4171
153,165131898439088,-19.5152,-20.5643,-25.2660,-15.1606,-8.7813,-2.9421,0.9918,5.1326,3.8208,2.8079,-1.9146,1.1175,-0.4983
154,165131927885655,-18.9000,-20.2658,-25.1464,-15.6816,-8.3205,-3.4500,2.0883,5.2343,3.1027,2.3062,-1.2982,0.3220,-1.6076
155,165131957332222,-18.2659,-20.0115,-23.8724,-17.0702,-9.0240,-3.1760,1.7809,5.7416,4.0495,1.0355,-1.5948,1.1796,-3.1205
156,165131986778789,-17.4921,-20.0291,-25.3962,-15.5862,-9.1265,-3.0290,1.3062,5.4600,3.3128,1.8309,-1.7793,0.9314,-2.4562
157,165132016225357,-17.1419,-19.6687,-25.6734,-15.6011,-9.3419,-3.0254,1.2873,5.2395,2.7770,1.5116,-0.5105,-0.3882,-1.5943
158,165132045671924,-16.5118,-19.5895,-25.7579,-16.0920,-8.7507,-3.4108,0.6264,4.9553,3.3651,1.2925,-0.1223,-0.3456,-1.7646
159,165132075118491,-16.0252,-19.5184,-26.0037,-15.2589,-9.3630,-4.2008,0.7647,5.2156,3.4647,1.7690,-2.3307,1.7224,-1.1831
160,165132104565058,-15.9808,-18.9344,-25.8902,-14.8937,-9.8675,-3.5379,0.3167,4.5440,3.1634,2.3284,-1.4180,1.9603,-2.4697
161,165132134011626,-15.4335,-19.0324,-23.2405,-17.4947,-9.4803,-3.6028,0.7234,4.2344,2.4336,2.9279,-0.8095,0.0859,-2.3493
162,165132163458193,-15.0804,-18.5288,-22.7925,-18.0162,-9.7433,-3.4299,0.5274,4.0567,2.4631,2.5292,-0.4747,0.1400,-2.2253
163,165132192904760,-14.1465,-18.3205,-25.6084,-15.6101,-9.8500,-3.5700,0.0192,4.2451,2.6785,1.9623,-1.0255,-0.1118,-1.2276
164,165132222351328,-13.5815,-17.7327,-26.3248,-15.4220,-9.8994,-3.3665,-0.7735,6.2219,0.5754,2.7420,-2.0372,-0.4387,-0.9278
165,165132251797895,-12.3899,-18.0158,-23.2183,-18.0519,-10.1328,-3.9330,-0.7363,nan,nan,2.5413,-0.9416,-0.3643,-6.7741
166,165132281244462,-11.0617,-17.4301,-24.0185,-17.2918,-9.5553,-5.9166,-2.0219,5.2744,0.3170,1.3942,-0.9645,0.1021,-2.7409
167,165132310691029,-10.1379,-16.8640,-21.8745,-18.6539,-10.2463,-7.5337,-2.0367,4.3909,0.4827,2.2328,-1.0853,0.9547,-3.0106
168,165132340137597,-8.8862,-16.4951,-21.8074,-19.4839,-11.0714,-6.5751,-3.1298,4.1974,0.5213,2.3228,-1.4542,-0.5497,-2.7783
169,165132369584164,-7.7935,-16.1478,-21.2462,-19.4707,-11.7946,-6.5521,-2.9723,2.6307,nan,nan,-0.9655,-0.2258,-2.2636
170,165132399030731,-7.3469,-15.4239,-21.0864,-18.2748,-13.2285,-7.2437,-2.3425,0.9945,0.2006,1.2566,-0.6931,-0.1382,-3.7900
171,165132428477298,-6.6687,-14.3514,-22.1372,-18.3498,-12.8180,-8.4198,-2.4769,0.9910,-0.1547,2.2113,-2.2402,1.6862,-2.5367
172,165132457923866,-5.9330,-13.6151,-22.0661,-18.4043,-12.6499,-8.3118,-3.5589,1.1775,-0.1037,0.8571,-0.6475,0.2329,-2.9686
173,165132487370433,-5.8013,-13.6720,-20.6788,-18.9595,-12.5950,-7.4811,-4.6080,0.4923,nan,nan,-0.5718,0.7344,-2.6845
174,165132516817000,-5.4357,-13.2239,-20.4787,-17.7759,-12.8377,-7.4107,-4.9758,nan,nan,nan,-2.9569,2.4076,-4.0693
175,165132546263567,-5.0212,-13.2004,-20.2988,-17.3812,-12.9092,-7.7655,-4.0535,0.3835,nan,nan,-1.9778,0.9387,-2.3573
176,165132575710135,-4.7064,-12.9251,-21.1336,-16.7946,-11.9237,-7.6135,-3.3407,nan,nan,0.4879,0.2454,-1.9097,-1.8476
